trip1, sequence1, lat, long, trip2, sequence2, lat2,long2
314,8128,19.3463264652,-99.0641560144,451,11425,19.3463584465,-99.0641560144
314,8128,19.3463264652,-99.0641560144,451,11425,19.3463584465,-99.0641560144
314,8128,19.3463264652,-99.0641560144,451,11425,19.3463584465,-99.0641560144
580,14749,19.4969579,-99.1183729,59,7751,19.4969579,-99.1183729
449,11351,19.3532132535,-99.0798956666,543,13840,19.3532016151,-99.0798956666
124,3174,19.3030555918,-99.1859351193,307,7935,19.3030483782,-99.1859351193
332,14358,19.4276713436,-99.047138094,259,6737,19.4276740158,-99.047138094
462,11636,19.5961175942,-99.0399425583,174,4510,19.5961637255,-99.0399425583
170,4422,19.359441301,-99.1382595827,381,9652,19.3594431499,-99.1382595827
463,11664,19.4680669832,-99.1383085553,143,3667,19.4680664046,-99.1383085553
159,4131,19.2781725137,-99.010160075,101,2673,19.2781176381,-99.010160075
359,9162,19.4160356371,-99.0988178737,83,2204,19.4160083052,-99.0988178737
512,12931,19.3504177884,-99.0733376032,314,8133,19.3504380531,-99.0733376032
257,13498,19.3835863551,-99.0760086655,78,13309,19.3835230248,-99.0760086655
165,16556,19.2034441,-99.0477428,61,6003,19.2034370803,-99.0477428
263,6919,19.3227111,-99.2230281,507,12793,19.3226679831,-99.2230281
499,12570,19.375916,-99.1888605,117,3039,19.3759186303,-99.1888605
317,8260,19.3274387811,-99.2120930274,97,2553,19.3274921,-99.2120930274
445,11224,19.3056209333,-99.1846250133,278,7213,19.3056182,-99.1846250133
370,9405,19.4179115991,-99.0738163251,231,11271,19.4179031975,-99.0738163251
480,12149,19.3157598557,-99.1663849666,54,1426,19.3158177,-99.1663849666
144,3692,19.2984223201,-99.1513163384,411,10350,19.2984075638,-99.1513163384
98,10120,19.323416265,-99.1734237961,404,10190,19.3234660945,-99.1734237961
332,14362,19.4256661548,-99.037035852,259,8829,19.4256817782,-99.037035852
371,9416,19.3091208853,-99.228649125,35,896,19.3091726154,-99.228649125
81,2164,19.4599503492,-99.1233609432,16,6539,19.4599218344,-99.1233609432
472,11920,19.2908009,-99.1205176,369,9377,19.2907624936,-99.1205176
40,1031,19.3908467591,-99.1286335095,47,1267,19.3908394371,-99.1286335095
160,4166,19.3565724384,-99.1527052189,434,11010,19.3566257919,-99.1527052189
139,3598,19.5718456447,-99.0429577895,363,9231,19.5718237298,-99.0429577895
471,11896,19.388955959,-99.074605267,231,11285,19.3890106573,-99.074605267
257,6690,19.3838708844,-99.0758124836,413,10373,19.3838654538,-99.0758124836
340,8738,19.5110813162,-99.1984272866,102,2704,19.5111333645,-99.1984272866
561,14315,19.3585992871,-99.0896855953,14,426,19.3585993875,-99.0896855953
471,11894,19.3803230145,-99.076929608,231,5922,19.3803143507,-99.076929608
100,9869,19.4523064588,-99.1858766828,79,2082,19.4522715347,-99.1858766828
112,2935,19.4169393397,-99.0737358969,484,12209,19.4169319405,-99.0737358969
138,3569,19.464750641,-99.0662254961,299,16330,19.4647537162,-99.0662254961
578,14721,19.3674302283,-99.0746413364,587,14942,19.3674604313,-99.0746413364
259,6742,19.4260283,-99.0384146,125,12401,19.4260298007,-99.0384146
59,7751,19.4969579,-99.1183729,580,14744,19.4969579,-99.1183729
256,6659,19.3910697086,-99.0453676333,489,12306,19.3910964809,-99.0453676333
231,5924,19.3915612832,-99.0740054962,624,16025,19.3916192782,-99.0740054962
543,13799,19.3987317858,-99.1291014637,286,7490,19.3987754955,-99.1291014637
204,5213,19.4688365488,-99.1748509396,91,2392,19.4688196854,-99.1748509396
293,7678,19.2552834,-99.0113765,216,5481,19.2552463598,-99.0113765
262,6868,19.4765549435,-99.1388196426,91,2384,19.4765492764,-99.1388196426
324,12254,19.3404394733,-99.1914900354,397,9985,19.3404063362,-99.1914900354
235,14459,19.2635802248,-99.1077239299,10,14305,19.2635216989,-99.1077239299
527,13357,19.426577096,-99.1094332227,149,3810,19.4266006449,-99.1094332227
472,11947,19.3862305362,-99.1642862269,414,10437,19.3861822154,-99.1642862269
128,3273,19.3158299651,-99.0627512354,506,12770,19.3158454194,-99.0627512354
332,8613,19.4179912685,-99.0737461194,231,11271,19.4179031975,-99.0737461194
204,5201,19.4758407495,-99.0897379137,248,6431,19.4758234588,-99.0897379137
401,10128,19.420674291,-99.1754881189,454,14383,19.4206596571,-99.1754881189
194,8326,19.3221173939,-99.0528933299,128,3276,19.3220464849,-99.0528933299
490,12326,19.3428524883,-99.0439340937,226,5818,19.3428455841,-99.0439340937
90,2361,19.3209015498,-99.0839429764,336,8662,19.3209873376,-99.0839429764
484,12210,19.4169298184,-99.0736507329,112,2935,19.4169393397,-99.0736507329
187,4795,19.3571690573,-99.1896843758,164,4265,19.3571647692,-99.1896843758
605,15509,19.3501612054,-99.1628464419,414,10420,19.3501936268,-99.1628464419
393,9910,19.4546201151,-99.1303617837,572,14560,19.4546186997,-99.1303617837
363,9253,19.7428259973,-98.9720121816,287,14267,19.7428330404,-98.9720121816
257,13499,19.3820324906,-99.0764486609,624,16040,19.3820348409,-99.0764486609
237,6087,19.4499165531,-99.115263209,528,13373,19.4499344419,-99.115263209
66,1791,19.4583466,-99.2143752,89,2336,19.4583974427,-99.2143752
20,559,19.338532037,-99.18997665,31,2799,19.3385266711,-99.18997665
419,10641,19.3176159604,-99.2371207629,263,6917,19.3176004538,-99.2371207629
543,13835,19.3560769785,-99.0932659089,226,5802,19.356068069,-99.0932659089
629,16226,19.4680322223,-99.1400346782,333,8614,19.4680284845,-99.1400346782
39,1008,19.3287279,-99.1164552,265,15215,19.3287322812,-99.1164552
